156,SAINT PHILBERT DU PONT CHARRAULT,85
157,SAINT PROUANT,85
158,SAINTE HERMINE,85
159,POUILLÉ,85
160,CHAUCHÉ,85
161,SAINT ÉTIENNE DES LOGES,85
162,CLISSON (- LA TRINITÉ),44
163,SAINT AUBIN LA PLAINE,85
164,SAINT MARTIN LARS EN SAINTE HERMINE,85
165,JAUDONNIÈRE (LA),85
166,SAINT GEORGES DE MONTAIGU,85
167,ARÇAIS,79
168,GRAND'LANDES,85
169,BOUPÈRE (LE),85
170,FALLERON,85
171,LUCS SUR BOULOGNE (LES) (- SAINT PIERRE),85
172,SAINT MARTIN DES NOYERS,85
173,SAINT AUBIN DES ORMEAUX,85
174,BELLEVILLE (SUR VIE),85
175,BOISMÉ,79
176,CUGAND,85
177,BREUIL BARRET,85
178,BEUGNON (LE),79
179,MENOMBLET,85
180,FAYMOREAU,85
181,SAINT MAURICE DES NOUES,85
182,SAINT ANDRÉ SUR SÈVRE,79
183,VOUVANT,85
184,ANTIGNY,85
185,SAINT HILAIRE DU BOIS,85
186,CHEFFOIS,85
187,CHÂTAIGNERAIE (LA),85
188,SAINT ANDRÉ TREIZE VOIES,85
189,SAINT HILAIRE DE MORTAGNE,85
190,TARDIÈRE (LA),85
191,LOGE FOUGEREUSE,85
192,SAINT SULPICE EN PAREDS,85
193,CHÂTEAU GUIBERT,85
194,MERVENT,85
195,PAYRÉ SUR VENDÉE,85
196,SAINT HILAIRE DES LOGES (... SUR L'AUTISE),85
197,SÉRIGNÉ,85
198,MAILLÉ,85
199,CHAPELLE THÉMER (LA),85
200,POIRE SUR VELLUIRE (LE),85
201,PUY DE SERRE,85
202,FOUSSAIS (PAYRÉ),85
203,BAZOGES EN PAREDS,85
204,SAINT MAIXENT DE BEUGNÉ,79
205,SAINT HILAIRE DE VOUST,85
206,SAINT SIGISMOND,85
207,XANTON (CHASSENON),85
208,DOIX,85
209,AUZAY,85
210,COULONGES SUR L'AUTIZE,79
211,SAINTE PEZENNE,79
212,SAINT MAURICE LE GIRARD,85
213,VOUILLÉ LES MARAIS,85
214,LONGÈVES,85
215,SAINT LAURS,79
216,MAREUIL SUR LAY (DISSAIS),85
217,COULON,79
218,BOUILLÉ (COURDAULT),85
219,GUÉ DE VELLUIRE (LE),85
220,DÉSERT - Pasteur Jacques METAYER,85
221,POIRÉ SUR VELLUIRE (LE),85
222,ORBRIE (L'),85
223,BÉCELEUF,79
224,OULMES,85
225,BUSSEAU (LE),79
226,GROLLE (LA),85
227,VILLIERS EN PLAINE,79
228,LESSON,85
229,BENET,85
230,SAINT GERMAIN L'AIGUILLER,85
231,SAINT ÉTIENNE DU BOIS,85
232,THOUARSAIS (BOUILDROUX),85
233,PIN (LE) (79),79
234,PUY SAINT BONNET (LE),49
235,SAINT MÉDARD DES PRÉS,85
236,SAINT POMPAIN,79
237,SAINTE RADÉGONDE LA VINEUSE,85
238,SAINT MARTIN DE FRAIGNEAU,85
239,CEZAIS,85
240,MOUILLERON EN PAREDS,85
241,REDOUX (LES),85
242,CHARZAIS,85
243,MONTOURNAIS,85
244,MEILLERAIE (TILLAY) (LA),85
245,CHASSENON,85
246,VELLUIRE,85
247,NIEUL LE DOLENT,85
248,SAINT PAUL EN PAREDS,85
249,CERIZAY,79
250,SAINT MICHEL LE CLOUCQ,85
251,DENANT,85
252,SAINT PIERRE LE VIEUX,85
253,THIRÉ,85
254,SAINT MARS LA RÉORTHE,85
255,BERNARDIÈRE (LA),85
256,SAINT HILAIRE DE LOULAY,85
257,CHAPELLE AUX LYS (LA),85
258,SAINT JUIRE CHAMPGILLON (= CHAMPGILLON),85
259,CIRIÈRES,79
260,VIEUX POUZAUGES (LE),85
261,ABSIE (L') (= LA CHAPELLE SEGUIN),79
262,BEAULIEU SOUS BRESSUIRE,79
263,MONCOUTANT,79
264,COURLAY,79
265,CLAZAY,79
266,CHAPELLE LARGEAU (LA),79
267,SAINT PAUL EN GÂTINE,79
268,MOULINS,79
269,NIEUL SUR L'AUTISE,85
270,SAINT PIERRE DES ÉCHAUBROGNES,79
271,MONTRAVERS,79
272,SAINT DENIS LA CHEVASSE,85
273,MORMAISON,85
274,SAINT PHILBERT DE BOUAINE,85
275,MONTAIGU - SAINT JACQUES,85
276,BEAUFOU,85
277,RABATELIÈRE (LA),85
278,SAINT CHRISTOPHE LA CHARTREUSE,85
279,SAINTE GEMME LES BRUYÈRES,85
280,SAINT CYR DES GÂTS,85
281,SAINT MARTIN DES TILLEULS,85
282,CROIX DE VIE (= SAINT GILLES CROIX DE VIE),85
283,RÉORTHE (LA),85
284,AIGUILLON SUR MER (L'),85
285,BELLENOUE,85
286,SALIGNY,85
287,JONCHÈRE (LA),85
288,PISSOTTE,85
289,SAINT ANDRÉ GOULE D'OIE,85
290,CHÂTELLIERS (CHÂTEAUMUR) (LES),85
291,VIX,85
292,BOUFFÉRÉ,85
293,RORTHAIS,79
294,BROUZILS (LES),85
295,THORIGNY,85
296,SAINT GEORGES DE POINTINDOUX,85
297,PINEAUX (SAINT OUEN) (LES),85
298,BOISSIÈRE DES LANDES (LA),85
299,VINEUSE (LA),85
300,SAINT HILAIRE LE VOUHIS,85
301,LANDES GÉNUSSON (LES),85
302,ESSARTS (LES),85
303,SAINT ÉTIENNE DE MER MORTE,44
304,MERLATIÈRE (LA),85
305,HERBERGEMENT (L'),85
306,GRÈVE (LA),85
307,BOURNEAU,85
308,MAZIÈRES EN MAUGES,49
309,COMMEQUIERS,85
310,CLISSON - SAINT JACQUES,44
311,CLAYE (LA),85
312,SAINT MARS DES PRÉS,85
313,SIGOURNAIS,85
314,SAINT LUMINE DE CLISSON,44
315,GÉTIGNÉ,44
316,CLISSON - NOTRE DAME,44
317,TERVES,79
318,SAINT MARTIN SOUS MOUZEUIL,85
319,CHAPELLE SAINT ÉTIENNE (LA),79
320,TIFFAUGES (- NOTRE DAME),85
321,NOIRLIEU,79
322,LANDERONDE,85
323,CLISSON - SAINT GILLES,44
324,SAINT MARSAULT,79
325,TEMPLE (LE),79
326,PUYRAVAULT,85
327,COPECHAGNIÈRE (LA),85
328,GUYONNIÈRE (LA),85
329,SAINT VINCENT STERLANGES,85
330,MARILLET,85
331,VENDRENNES,85
332,SAINT OUEN DES GÂTS,85
333,MARSAIS (SAINTE RADÉGONDE),85
334,FONTAINES,85
335,COUTURE (LA),85
336,LOUBLANDE (SAINT HILAIRE DES ÉCHAUBROGNES),79
337,SAINT JUIRE LA PLAINE,85
338,POMMERAIE SUR SÈVRE (LA),85
339,COMBRAND,79
340,SAINT LAURENT SUR SÈVRE,85
341,ARGENTON CHÂTEAU (=ARGENTON LES VALLÉES),79
342,NUEIL SUR ARGENT (= NUEIL LES AUBIERS),79
343,SAINT ÉTIENNE DE BRILLOUET,85
344,SAINT HERMAND,85
345,POUZAUGES,85
346,TREIZE SEPTIERS,85
347,MORTAGNE SUR SÈVRE,85
348,AUBIERS (LES),79
349,ST JOUIN DE MILLY,79
350,BESSAY,85
351,CHANTONNAY,85
352,BRÉTIGNOLLES,79
353,BOULOGNE,85
354,NOIRTERRE,79
355,SAINT PORCHAIRE (79),79
356,SAINT JOUIN DE MILLY,79
357,APREMONT,85
358,LANDEVIEILLE,85
359,BRÉTIGNOLLES (SUR MER),85
360,SAINT PAUL MONT PENIT,85
361,CHAIZE GIRAUD (LA),85
362,TABLIER (LE),85
363,CHAPELLE PALLUAU (LA),85
364,FRESNAY (EN RETZ),44
365,OIE (L'),85
366,SAINT SULPICE LE VERDON,85
367,TILLAY,85
368,TIFFAUGES - SAINT NICOLAS,85
369,CHAMBROUTET,79
370,SAINTE CHRISTINE,85
371,SAINT VALÉRIEN,85
372,SAINT VINCENT FORT DU LAY,85
373,BARRE DE MONTS (LA),85
374,AIGUILLON SUR VIE (L'),85
375,DISSAIS,85
